Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1E5MLdh9r4Qt8T8WAS00t7,"Sugarina (OTTP Remix)","Sugarina (OTTP Remix)","Sara Socas,Octopvs To The Party",2022-04-01,133333,21,jlx91,2022-11-21T22:00:21Z,"","Altafonte",0.65,0.782,7,-5.059,1,0.303,0.224,0,0.321,0.798,180.638,4
667CH2wRxXnQOfPD1NrlLJ,"Chamaquita","Chamaquita","Quevedo,Juseph",2022-04-14,170699,54,jlx91,2022-11-21T22:10:44Z,"reggaeton","Quevedo",0.686,0.692,8,-6.099,0,0.349,0.134,0,0.111,0.83,179.975,4
7FcUOK8gZTheM1XF4G5N2q,"Candela","Candela","NIA,Lennis Rodriguez,Rocco Hunt",2022-11-18,173934,16,jlx91,2022-11-21T22:20:02Z,"flamenco urbano,flamenco pop,canzone napoletana,neomelodico","Must Producciones distributed by Altafonte",0.724,0.853,2,-2.86,1,0.0894,0.142,0,0.183,0.711,129.001,4
16WqTGCulLA8aZBEEDlkJt,"Guillao","Guillao","La Pantera,Juseph,Bdp Music",2022-08-19,185000,40,jlx91,2022-11-21T22:03:02Z,"","La Pantera",0.857,0.669,1,-4.99,1,0.228,0.0482,0.00000336,0.0692,0.747,96.077,4
4mjCmn2Mepi8NpkjWicWwf,"Naiky","Naiky","Marconi Impara,Maikel Delacalle,Kabasaki",2022-08-05,156853,19,jlx91,2022-11-21T21:25:54Z,"trap latino,latin r&b,neoperreo","Rimas Entertainment LLC.",0.774,0.683,4,-6.884,0,0.405,0.292,0,0.107,0.746,160.022,4
1HNcDOIGo9CE4sZoK5mhCq,"Muchoperro","Muchoperro","Juseph,Cruz Cafuné,Wiso Rivera",2022-09-02,219534,9,jlx91,2022-11-21T21:28:16Z,"","Juseph",0.852,0.748,4,-4.564,0,0.0387,0.491,0,0.617,0.971,116.961,4
4xYjeIMP9G5a6E6KC6DZlF,"Navaja","Navaja","San Tosielo,ABHIR",2022-09-29,170186,0,jlx91,2022-11-21T22:13:13Z,"","Santosielosientotanto",0.688,0.79,9,-8.908,0,0.0775,0.361,0,0.574,0.561,154.938,4
477iCmzQoiViAL4HmrkMVG,"Papi Suena","Papi Suena","EL IMA",2022-05-05,169772,6,jlx91,2022-11-21T22:18:21Z,"","Tropicanarian Records",0.784,0.782,3,-4.368,0,0.209,0.416,0,0.131,0.962,175.954,4
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo",2022-07-06,198937,81,jlx91,2022-11-21T21:52:01Z,"argentine trap,trap latino,urbano latino,reggaeton","DALE PLAY Records",0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
4axxCbc4tWlpqHP5UbJMc3,"Ptazeta: Bzrp Music Sessions, Vol. 45","Ptazeta: Bzrp Music Sessions, Vol. 45","Bizarrap,Ptazeta",2021-10-06,161485,62,jlx91,2022-11-21T22:22:32Z,"argentine trap,trap latino,urbano latino","DALE PLAY Records",0.829,0.81,2,-4.801,1,0.144,0.0424,0,0.0748,0.707,114.044,4
0Bv7O6fmZk3GrNQFYJaXPn,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera,Quevedo,Juseph,ABHIR,BEJO,Cruz Cafuné,EL IMA",2022-01-14,413110,67,jlx91,2022-11-21T21:55:29Z,"reggaeton","La Pantera",0.672,0.745,5,-5.269,0,0.3,0.438,0.00000929,0.0699,0.739,173.974,4
5fghgRsc8a3pSDXtjQ238F,"Trakatá","Trakatá","Ptazeta,FARIANA,Juacko",2021-03-11,178064,61,jlx91,2022-11-21T22:12:06Z,"dembow,urbano latino","Sony Music Entertainment",0.906,0.626,5,-5.533,1,0.254,0.127,0.00000656,0.0546,0.561,93.03,4
4aZlDPeh1FvcQNEtxNtsEG,"8 Maravillas","8 Maravillas","NIA",2020-05-29,205260,25,jlx91,2022-11-23T18:01:07Z,"flamenco urbano,flamenco pop","Operación Triunfo 2020",0.777,0.733,11,-4.764,0,0.0443,0.071,0,0.12,0.873,136.503,4
6uW0PIRcyZLvkoonm763xD,"Contando Lunares (feat. Cruz Cafuné)","La Dura Vida del Joven Rapero","Don Patricio,Cruz Cafuné",2019-01-27,219666,67,jlx91,2022-11-21T22:11:49Z,"","WM Spain",0.856,0.523,4,-10.481,0,0.131,0.442,0,0.0537,0.709,105.935,4
60tEDtLqe5VVYSliHmu5SD,"La Rama (Remix)","La Rama Remix","Juacko",2016-12-16,194001,0,jlx91,2022-11-21T22:13:16Z,"","Juacko Records",0.67,0.892,10,-5.114,0,0.0913,0.00158,0.123,0.0941,0.647,129.526,4
16HjyYD9FohXQymZpeOnPv,"San Barondon - Canary Mix 2012","Sunset Ritual (Mixed by Anane & Louie Vega)","Pablo Fierro",2014-10-03,350000,17,jlx91,2022-11-22T13:55:07Z,"afro house,tribal house,latin house,deep house,organic house","Vega Records",0.87,0.871,1,-9.847,1,0.153,0.0282,0.627,0.0799,0.551,126.017,4
7KnfMJhMvciKC9TKEWVXi8,"Salsa Con Reggaetón","Hombres Con Pañales","K-Narias",2006-09-27,205453,39,jlx91,2022-11-22T12:30:09Z,"","Knarias distributed by Altafonte",0.783,0.913,10,-4.997,0,0.15,0.272,0.0000112,0.955,0.926,99.989,4
1Z03UobWY0SArekWEtk1Mj,"Emboscada","Lo Mejor De...","Vico C",2016-04-22,261306,18,jlx91,2022-11-22T13:54:42Z,"latin hip hop,reggaeton","UMLE - Latino",0.661,0.709,8,-6.326,1,0.358,0.00762,0.0014,0.0942,0.698,97.974,4
